도로명전체주소,사업장명,의료인수,입원실수,병상수,총면적,진료과목내용명,종별코드,종별코드명,시도코드,시도명,시군구코드,시군구명,X좌표,Y좌표,의사총수,일반의 의사수,인턴 의사수,레지던트 의사수,전문의합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과,치과,구강악안면외과,치과보철과,치과교정과,소아치과,치주과,치과보존과,구강내과,영상치의학과,구강병리과,예방치과,통합치의학과,한방내과,한방부인과,한방소아과,한방안·이비인후·피부과,한방신경정신과,침구과,한방재활의학과,사상체질과,한방응급,의료장비합계,유방촬영장치,CT,콘빔CT,양전자단층촬영기 (PET),골밀도검사기,MRI,초음파영상진단기,종양치료기 (Gamma Knife),종양치료기 (Cyber Knife),종양치료기 (양성자치료기),체외충격파쇄석기,혈액투석을위한인공신장기,구글점수,구글건수,다음점수,다음건수,네이버평점,네이버건수,진료만족도,의료진친절도,시설만족도,평가인원,총건수,최종점수,최종보정점수
인천광역시 강화군 강화읍 충렬사로 31-0,비에스종합병원,14.0,55.0,213.0,12110.61,,11.0,종합병원,220000.0,인천,220100.0,인천강화군,126.48599159999999,37.73604829999999,20.0,1.0,0.0,0.0,18.0,4.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,23.0,3.1,14.0,4.1,7.0,3.95,47.0,,,,,27,2.8494212962962995,2.65290948275862
"서울특별시 강서구 공항대로 260, 이화여자대학교 제2부속병원 (마곡동)",이화여자대학교의과대학부속서울병원,796.0,303.0,653.0,205543.13,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보존과",11.0,종합병원,110000.0,서울,110003.0,강서구,126.8362668,37.5572629,182.0,1.0,0.0,0.0,181.0,43.0,8.0,2.0,15.0,11.0,9.0,4.0,2.0,13.0,8.0,9.0,2.0,4.0,2.0,3.0,13.0,2.0,3.0,4.0,0.0,2.0,2.0,3.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2.0,4.0,1.0,1.0,2.0,2.0,46.0,0.0,0.0,0.0,1.0,48.0,3.6,48.0,3.5,57.0,4.2,341.0,10.0,10.0,10.0,3.0,147,3.24426020408163,3.24426020408163
서울특별시 서대문구 연세로 50-1 (신촌동),학교법인연세대학교의과대학세브란스병원,4758.0,823.0,2455.0,283843.22,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과",1.0,상급종합병원,110000.0,서울,110010.0,서대문구,126.94082649999999,37.5623446,1183.0,7.0,132.0,212.0,828.0,215.0,26.0,24.0,68.0,25.0,34.0,23.0,10.0,84.0,30.0,52.0,26.0,18.0,12.0,17.0,71.0,12.0,19.0,13.0,0.0,12.0,6.0,12.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,2.0,14.0,0.0,5.0,4.0,13.0,114.0,1.0,1.0,0.0,1.0,78.0,3.9,228.0,,,4.361925745,2451.0,9.7,9.4,9.6,33.0,528,3.56712922807173,3.56712922807173
"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",의료법인동신의료재단 동신병원,112.0,59.0,207.0,8493.73,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 비뇨의학과, 영상의학과, 병리과, 가정의학과, 응급의학과",11.0,종합병원,110000.0,서울,110010.0,서대문구,126.9364251,37.5813323,21.0,3.0,0.0,0.0,18.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,14.0,3.1,22.0,3.9,8.0,3.97,78.0,10.0,10.0,10.0,1.0,40,2.721796875,2.721796875
서울특별시 중랑구 신내로 156 (신내동),서울특별시서울의료원,840.0,168.0,623.0,100120.53,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 침구과, 구강악안면외과",11.0,종합병원,110000.0,서울,110019.0,중랑구,127.09783090000002,37.6132762,224.0,1.0,26.0,71.0,124.0,35.0,5.0,4.0,10.0,8.0,6.0,2.0,0.0,5.0,9.0,6.0,2.0,2.0,1.0,3.0,6.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,3.0,3.0,1.0,1.0,2.0,3.0,35.0,0.0,0.0,0.0,1.0,55.0,3.7,75.0,2.6,41.0,4.4,257.0,8.2,7.8,7.8,6.0,147,3.22144982993197,3.22144982993197
"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",성애의료재단 성애병원,336.0,85.0,275.0,20380.0,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 치과, 구강악안면외과, 치과보철과, 치주과, 치과보존과",11.0,종합병원,110000.0,서울,110013.0,영등포구,126.9225003,37.5120274,83.0,2.0,7.0,11.0,63.0,17.0,2.0,1.0,2.0,6.0,2.0,0.0,0.0,4.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,2.0,1.0,1.0,1.0,2.0,16.0,0.0,0.0,0.0,1.0,43.0,3.5,31.0,2.6,41.0,4.24,201.0,10.0,10.0,10.0,1.0,97,2.8829574742268,2.8829574742268
서울특별시 은평구 통일로 873 (갈현동),의료법인 청구성심병원,118.0,63.0,210.0,5894.91,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 비뇨의학과, 영상의학과, 진단검사의학과, 응급의학과",11.0,종합병원,110000.0,서울,110015.0,은평구,126.9197006,37.6208615,24.0,1.0,0.0,0.0,23.0,6.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,3.8,24.0,2.8,32.0,4.2,83.0,7.4,5.8,6.5,8.0,66,3.0682765151515197,3.0682765151515197
서울특별시 용산구 대사관로 59 (한남동),순천향대학교 부속 서울병원,917.0,175.0,725.0,46974.38,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 예방의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",11.0,종합병원,110000.0,서울,110014.0,용산구,127.00425790000001,37.533803999999996,355.0,2.0,38.0,119.0,197.0,59.0,5.0,4.0,11.0,11.0,5.0,4.0,4.0,8.0,9.0,9.0,7.0,5.0,2.0,5.0,13.0,2.0,5.0,6.0,0.0,3.0,2.0,6.0,6.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,3.0,4.0,1.0,1.0,2.0,3.0,52.0,0.0,1.0,0.0,1.0,42.0,3.3,66.0,2.2,40.0,4.157844828,348.0,9.1,8.8,8.8,8.0,149,2.6507793520344,2.6507793520344
서울특별시 종로구 새문안로 29 (평동),강북삼성병원,946.0,174.0,689.0,53555.06,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과",1.0,상급종합병원,110000.0,서울,110016.0,종로구,126.96775,37.5684083,388.0,6.0,30.0,131.0,221.0,59.0,6.0,7.0,20.0,8.0,5.0,3.0,3.0,8.0,7.0,7.0,6.0,5.0,4.0,6.0,19.0,2.0,10.0,4.0,0.0,3.0,3.0,6.0,6.0,9.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,4.0,4.0,1.0,1.0,3.0,2.0,49.0,0.0,0.0,0.0,1.0,26.0,3.8,65.0,2.6,46.0,4.251547368,950.0,10.0,9.7,9.7,21.0,227,3.10911850715859,3.10911850715859
"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",홍익병원,265.0,65.0,240.0,13369.43,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 가정의학과, 응급의학과, 치과",11.0,종합병원,110000.0,서울,110020.0,양천구,126.8636551,37.5284838,67.0,1.0,3.0,11.0,50.0,13.0,2.0,1.0,3.0,4.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2.0,3.0,1.0,0.0,3.0,2.0,19.0,0.0,0.0,0.0,1.0,30.0,3.6,25.0,2.0,27.0,4.26375,192.0,8.2,8.6,8.5,10.0,76,2.77107319078947,2.77107319078947
